CODE,VILLE,LATITUDE,LONGITUDE
10151,New York,40.7128,-74.006
W1J 5AL,Londres,51.5074,-0.1278
106-0043,Tokyo,35.6762,139.6503
2127,Sydney,-33.8688,151.2093
75000,Paris,48.8566,2.3522
20000-000,Rio de Janeiro,-22.9068,-43.1729
400010,Bombay,19.076,72.8777
100000,Moscou,55.7558,37.6173
7400,Le Cap,-33.9249,18.4241
065001,Pékin,39.9042,116.4074
01010,Mexico,19.4326,-99.1332
10319,Berlin,52.52,13.405
25314,Dubaï,25.276987,55.296249
150007,Singapour,1.3521,103.8198
34030,Istanbul,41.0082,28.9784
90008,Los Angeles,34.0522,-118.2437
10320,Bangkok,13.7563,100.5018
01008,Séoul,37.5665,126.978
00100,Nairobi,-1.2921,36.8219
L7C,Toronto,43.65107,-79.347015
